action,barcode,productName,batchCode,expiryDate,quantity,price
ADD,P0019,Butter,B100037,2026-07-05,38,85000
ADD,P0020,Sugar,B100038,2026-12-05,2,10000
ADD,P0016,Snack,B100039,2027-07-12,59,35000
ADD,P0006,Medicine,B100040,2026-11-10,51,55000
ADD,P0005,Rice,B100041,2027-02-02,27,35000
ADD,P0016,Snack,B100042,2026-07-06,77,100000
ADD,P0018,Cheese,B100043,2027-08-20,89,75000
ADD,P0016,Snack,B100044,2027-12-16,56,60000
ADD,P0007,Book,B100045,2027-01-11,67,10000
ADD,P0012,Chocolate,B100046,2026-08-19,9,65000
ADD,P0011,Water,B100047,2027-05-14,35,25000
ADD,P0019,Butter,B100048,2027-01-20,11,85000
ADD,P0012,Chocolate,B100049,2026-07-27,41,35000
ADD,P0011,Water,B100050,2026-09-29,91,15000
ADD,P0009,Cake,B100051,2027-05-25,70,10000
ADD,P0011,Water,B100052,2027-05-31,82,70000
ADD,P0002,Bread,B100053,2027-02-11,83,30000
ADD,P0004,Tea,B100054,2026-10-25,64,15000
ADD,P0016,Snack,B100055,2026-08-01,89,70000
ADD,P0001,Milk,B100056,2027-01-14,3,45000
ADD,P0019,Butter,B100057,2027-10-08,56,55000
ADD,P0003,Coffee,B100058,2027-07-15,33,50000
ADD,P0015,Shampoo,B100059,2027-03-19,44,35000
ADD,P0013,Noodles,B100060,2026-07-26,27,30000
ADD,P0019,Butter,B100061,2027-11-22,81,45000
ADD,P0018,Cheese,B100062,2027-09-22,28,95000
ADD,P0020,Sugar,B100063,2026-11-06,66,60000
ADD,P0004,Tea,B100064,2027-01-22,93,90000
ADD,P0018,Cheese,B100065,2026-07-07,51,65000
ADD,P0008,Juice,B100066,2027-02-08,61,85000
ADD,P0015,Shampoo,B100067,2026-11-27,76,50000
ADD,P0011,Water,B100068,2026-07-05,82,100000
ADD,P0007,Book,B100069,2027-02-20,68,20000
ADD,P0020,Sugar,B100070,2026-09-02,76,65000
ADD,P0011,Water,B100071,2026-11-02,6,35000
ADD,P0011,Water,B100072,2027-09-16,11,95000
ADD,P0016,Snack,B100073,2026-09-05,22,20000
ADD,P0018,Cheese,B100074,2026-09-21,60,55000
ADD,P0001,Milk,B100075,2027-06-25,68,50000
ADD,P0011,Water,B100076,2027-06-28,76,15000
ADD,P0003,Coffee,B100077,2026-07-05,2,90000
ADD,P0005,Rice,B100078,2027-10-31,79,100000
ADD,P0007,Book,B100079,2026-07-02,3,85000
ADD,P0017,Egg,B100080,2026-08-25,2,80000
ADD,P0014,Soap,B100081,2026-10-17,44,10000
ADD,P0009,Cake,B100082,2027-02-02,84,25000
ADD,P0012,Chocolate,B100083,2026-07-30,2,35000
ADD,P0016,Snack,B100084,2026-10-29,55,40000
ADD,P0008,Juice,B100085,2027-03-11,98,45000
ADD,P0013,Noodles,B100086,2026-10-08,28,10000
ADD,P0013,Noodles,B100087,2027-09-22,10,70000
ADD,P0012,Chocolate,B100088,2027-08-13,12,25000
ADD,P0005,Rice,B100089,2027-05-16,79,45000
ADD,P0013,Noodles,B100090,2026-07-02,73,55000
ADD,P0011,Water,B100091,2026-09-25,95,75000
ADD,P0001,Milk,B100092,2027-03-29,75,15000
ADD,P0008,Juice,B100093,2026-10-01,37,20000
ADD,P0015,Shampoo,B100094,2027-02-01,64,25000
ADD,P0003,Coffee,B100095,2026-12-12,84,70000
ADD,P0018,Cheese,B100096,2027-03-20,77,80000
ADD,P0014,Soap,B100097,2027-09-01,26,80000
ADD,P0020,Sugar,B100098,2027-08-19,23,75000
ADD,P0018,Cheese,B100099,2027-04-14,62,50000
ADD,P0015,Shampoo,B100100,2027-10-12,18,85000
ADD,P0002,Bread,B100101,2026-07-06,43,80000
ADD,P0008,Juice,B100102,2026-11-07,82,20000
ADD,P0013,Noodles,B100103,2027-07-30,84,85000
ADD,P0002,Bread,B100104,2026-07-25,94,70000
ADD,P0001,Milk,B100105,2027-09-12,72,85000
ADD,P0020,Sugar,B100106,2026-07-07,61,15000
ADD,P0016,Snack,B100107,2026-10-13,41,70000
ADD,P0017,Egg,B100108,2027-03-11,84,40000
ADD,P0006,Medicine,B100109,2026-10-13,32,35000
ADD,P0004,Tea,B100110,2027-11-08,96,65000
ADD,P0008,Juice,B100111,2026-07-08,58,50000
ADD,P0019,Butter,B100112,2026-07-02,63,55000
ADD,P0017,Egg,B100113,2027-03-05,90,45000
ADD,P0007,Book,B100114,2026-12-02,17,50000
ADD,P0008,Juice,B100115,2026-07-30,15,100000
ADD,P0017,Egg,B100116,2026-10-11,7,30000
ADD,P0008,Juice,B100117,2027-02-02,46,95000
ADD,P0017,Egg,B100118,2027-05-21,48,55000
ADD,P0020,Sugar,B100119,2027-10-11,11,25000
ADD,P0011,Water,B100120,2026-09-21,4,20000
ADD,P0018,Cheese,B100121,2027-12-01,5,15000
ADD,P0019,Butter,B100122,2026-10-06,41,60000
ADD,P0001,Milk,B100123,2026-08-21,35,100000
ADD,P0015,Shampoo,B100124,2026-09-11,73,55000
ADD,P0018,Cheese,B100125,2027-10-08,56,30000
ADD,P0011,Water,B100126,2026-12-17,86,60000
ADD,P0002,Bread,B100127,2026-09-12,81,90000
ADD,P0002,Bread,B100128,2027-08-05,30,55000
ADD,P0001,Milk,B100129,2026-07-02,73,100000
ADD,P0007,Book,B100130,2026-07-02,30,15000
ADD,P0010,Candy,B100131,2027-11-14,67,80000
ADD,P0018,Cheese,B100132,2027-05-10,75,25000
ADD,P0020,Sugar,B100133,2027-07-16,46,40000
ADD,P0013,Noodles,B100134,2027-12-08,61,25000
ADD,P0010,Candy,B100135,2027-08-17,54,25000
ADD,P0020,Sugar,B100136,2027-09-04,2,65000
ADD,P0007,Book,B100137,2027-09-03,77,45000
ADD,P0019,Butter,B100138,2027-03-16,88,45000
ADD,P0010,Candy,B100139,2026-07-05,36,30000
ADD,P0006,Medicine,B100140,2027-10-24,31,30000
ADD,P0014,Soap,B100141,2027-11-27,42,20000
ADD,P0013,Noodles,B100142,2027-07-19,87,65000
ADD,P0019,Butter,B100143,2027-09-30,90,50000
ADD,P0019,Butter,B100144,2026-10-14,41,60000
ADD,P0020,Sugar,B100145,2027-01-22,40,55000
ADD,P0017,Egg,B100146,2027-03-19,54,85000
ADD,P0005,Rice,B100147,2027-07-09,48,30000
ADD,P0009,Cake,B100148,2026-09-30,8,45000
ADD,P0008,Juice,B100149,2027-03-29,24,30000
ADD,P0015,Shampoo,B100150,2026-07-03,60,50000
ADD,P0007,Book,B100151,2027-11-16,10,10000
ADD,P0006,Medicine,B100152,2026-09-01,67,100000
ADD,P0004,Tea,B100153,2027-11-26,18,65000
ADD,P0012,Chocolate,B100154,2027-09-29,24,95000
ADD,P0001,Milk,B100155,2027-09-13,27,65000
ADD,P0004,Tea,B100156,2027-01-18,58,50000
ADD,P0010,Candy,B100157,2026-07-06,93,100000
ADD,P0007,Book,B100158,2026-12-24,92,40000
ADD,P0014,Soap,B100159,2027-02-19,54,60000
ADD,P0013,Noodles,B100160,2027-05-19,49,35000
ADD,P0007,Book,B100161,2026-11-22,63,80000
ADD,P0003,Coffee,B100162,2026-07-04,86,75000
ADD,P0008,Juice,B100163,2027-03-07,44,10000
ADD,P0012,Chocolate,B100164,2027-07-25,61,95000
ADD,P0006,Medicine,B100165,2027-10-27,81,50000
ADD,P0014,Soap,B100166,2026-07-17,80,40000
ADD,P0001,Milk,B100167,2027-02-09,16,15000
ADD,P0008,Juice,B100168,2027-12-04,88,100000
ADD,P0011,Water,B100169,2027-12-28,66,70000
ADD,P0016,Snack,B100170,2026-08-14,20,65000
ADD,P0014,Soap,B100171,2027-04-17,22,25000
ADD,P0015,Shampoo,B100172,2027-06-19,81,70000
ADD,P0018,Cheese,B100173,2027-01-30,54,85000
ADD,P0011,Water,B100174,2027-12-28,3,45000
ADD,P0014,Soap,B100175,2027-11-08,60,40000
ADD,P0004,Tea,B100176,2027-07-08,36,45000
ADD,P0006,Medicine,B100177,2027-05-25,71,70000
ADD,P0003,Coffee,B100178,2026-12-24,32,15000
ADD,P0010,Candy,B100179,2027-08-29,94,20000
ADD,P0009,Cake,B100180,2027-05-27,27,85000
ADD,P0007,Book,B100181,2026-12-23,86,40000
ADD,P0019,Butter,B100182,2026-09-25,56,90000
ADD,P0013,Noodles,B100183,2026-07-05,59,40000
ADD,P0013,Noodles,B100184,2027-07-09,36,35000
ADD,P0002,Bread,B100185,2027-12-08,73,25000
ADD,P0002,Bread,B100186,2026-07-24,51,50000
ADD,P0010,Candy,B100187,2027-03-23,61,75000
ADD,P0004,Tea,B100188,2027-05-15,91,40000
ADD,P0011,Water,B100189,2027-05-18,65,85000
ADD,P0014,Soap,B100190,2026-09-04,98,10000
ADD,P0012,Chocolate,B100191,2027-01-31,31,55000
ADD,P0001,Milk,B100192,2027-05-04,91,10000
ADD,P0012,Chocolate,B100193,2027-05-06,22,40000
ADD,P0013,Noodles,B100194,2026-10-20,85,30000
ADD,P0016,Snack,B100195,2027-08-06,93,70000
ADD,P0009,Cake,B100196,2026-08-28,75,90000
ADD,P0020,Sugar,B100197,2027-01-15,37,65000
ADD,P0020,Sugar,B100198,2027-04-14,12,80000
ADD,P0014,Soap,B100199,2026-07-06,54,55000
ADD,P0004,Tea,B100200,2026-12-29,66,70000
ADD,P0006,Medicine,B100201,2027-09-23,49,70000
ADD,P0016,Snack,B100202,2027-11-26,35,60000
ADD,P0015,Shampoo,B100203,2026-12-16,60,35000
ADD,P0017,Egg,B100204,2027-01-05,85,100000
ADD,P0004,Tea,B100205,2027-05-30,19,10000
ADD,P0007,Book,B100206,2026-11-24,21,55000
ADD,P0020,Sugar,B100207,2026-07-07,90,30000
ADD,P0002,Bread,B100208,2027-06-03,40,60000
ADD,P0016,Snack,B100209,2026-08-04,44,30000
ADD,P0006,Medicine,B100210,2027-06-07,70,35000
ADD,P0011,Water,B100211,2027-07-07,29,90000
ADD,P0007,Book,B100212,2026-09-15,1,60000
ADD,P0015,Shampoo,B100213,2026-09-29,94,15000
ADD,P0017,Egg,B100214,2027-01-25,11,95000
ADD,P0011,Water,B100215,2026-07-07,39,80000
ADD,P0013,Noodles,B100216,2027-08-01,68,95000
ADD,P0010,Candy,B100217,2027-10-11,81,45000
ADD,P0005,Rice,B100218,2027-08-17,92,90000
ADD,P0020,Sugar,B100219,2027-11-12,97,50000
ADD,P0006,Medicine,B100220,2026-07-03,8,40000
ADD,P0010,Candy,B100221,2026-08-05,75,95000
ADD,P0016,Snack,B100222,2026-07-05,34,85000
ADD,P0004,Tea,B100223,2027-11-23,85,70000
ADD,P0008,Juice,B100224,2026-07-02,19,90000
ADD,P0009,Cake,B100225,2027-12-30,22,50000
ADD,P0007,Book,B100226,2026-11-30,6,100000
ADD,P0006,Medicine,B100227,2027-05-04,73,30000
ADD,P0013,Noodles,B100228,2027-03-24,12,95000
ADD,P0019,Butter,B100229,2026-07-03,43,95000
ADD,P0014,Soap,B100230,2027-10-30,67,65000
ADD,P0002,Bread,B100231,2027-10-08,28,40000
ADD,P0005,Rice,B100232,2027-03-18,13,40000
ADD,P0016,Snack,B100233,2027-03-04,46,15000
ADD,P0005,Rice,B100234,2026-08-10,1,25000
ADD,P0009,Cake,B100235,2026-11-08,36,60000
ADD,P0015,Shampoo,B100236,2026-07-06,57,65000
ADD,P0018,Cheese,B100237,2027-08-10,50,10000
ADD,P0019,Butter,B100238,2026-07-07,98,50000
ADD,P0019,Butter,B100239,2027-04-23,49,75000
ADD,P0006,Medicine,B100240,2026-09-10,32,40000
ADD,P0015,Shampoo,B100241,2026-10-03,77,40000
ADD,P0002,Bread,B100242,2027-11-11,50,75000
ADD,P0016,Snack,B100243,2026-10-18,11,85000
ADD,P0001,Milk,B100244,2026-08-27,66,100000
ADD,P0016,Snack,B100245,2026-12-02,27,50000
ADD,P0011,Water,B100246,2027-11-14,57,10000
ADD,P0020,Sugar,B100247,2027-07-18,4,20000
ADD,P0001,Milk,B100248,2026-08-23,51,20000
ADD,P0004,Tea,B100249,2026-11-08,50,45000
ADD,P0006,Medicine,B100250,2026-08-19,41,60000
ADD,P0019,Butter,B100251,2026-07-03,44,90000
ADD,P0019,Butter,B100252,2026-09-13,100,65000
ADD,P0014,Soap,B100253,2027-04-21,58,25000
ADD,P0002,Bread,B100254,2027-01-01,17,45000
ADD,P0002,Bread,B100255,2027-12-26,12,95000
ADD,P0004,Tea,B100256,2027-09-06,77,65000
ADD,P0011,Water,B100257,2027-03-17,81,40000
ADD,P0012,Chocolate,B100258,2027-02-01,33,10000
ADD,P0011,Water,B100259,2027-11-03,50,55000
ADD,P0018,Cheese,B100260,2027-10-13,83,40000
ADD,P0012,Chocolate,B100261,2027-01-20,26,30000
ADD,P0018,Cheese,B100262,2026-07-12,95,85000
ADD,P0012,Chocolate,B100263,2026-08-11,65,10000
ADD,P0002,Bread,B100264,2026-07-04,92,25000
ADD,P0014,Soap,B100265,2027-06-26,13,15000
ADD,P0014,Soap,B100266,2027-11-07,35,25000
ADD,P0003,Coffee,B100267,2026-08-30,91,70000
ADD,P0017,Egg,B100268,2026-08-15,39,35000
ADD,P0011,Water,B100269,2026-07-04,53,15000
ADD,P0003,Coffee,B100270,2027-10-05,21,15000
ADD,P0006,Medicine,B100271,2027-12-09,71,65000
ADD,P0004,Tea,B100272,2026-07-05,40,90000
ADD,P0009,Cake,B100273,2027-11-08,5,10000
ADD,P0018,Cheese,B100274,2026-08-03,33,20000
ADD,P0020,Sugar,B100275,2027-06-28,63,40000
ADD,P0018,Cheese,B100276,2026-07-03,34,15000
ADD,P0009,Cake,B100277,2026-10-08,6,70000
ADD,P0020,Sugar,B100278,2027-08-26,9,50000
ADD,P0018,Cheese,B100279,2026-07-05,32,10000
ADD,P0009,Cake,B100280,2027-12-04,20,10000
ADD,P0020,Sugar,B100281,2027-02-27,6,70000
ADD,P0004,Tea,B100282,2027-09-24,7,95000
ADD,P0009,Cake,B100283,2026-07-05,26,100000
ADD,P0008,Juice,B100284,2026-10-14,93,40000
ADD,P0004,Tea,B100285,2026-07-04,55,65000
ADD,P0005,Rice,B100286,2026-09-19,55,10000
ADD,P0009,Cake,B100287,2027-05-08,28,65000
ADD,P0011,Water,B100288,2027-07-23,57,10000
ADD,P0001,Milk,B100289,2027-05-10,66,70000
ADD,P0001,Milk,B100290,2027-10-18,43,80000
ADD,P0001,Milk,B100291,2026-07-06,41,15000
ADD,P0004,Tea,B100292,2027-06-18,56,50000
ADD,P0017,Egg,B100293,2026-09-21,96,45000
ADD,P0015,Shampoo,B100294,2026-12-02,90,75000
ADD,P0008,Juice,B100295,2027-03-20,82,55000
ADD,P0008,Juice,B100296,2027-11-25,24,25000
ADD,P0004,Tea,B100297,2026-07-07,77,60000
ADD,P0012,Chocolate,B100298,2026-07-08,52,25000
ADD,P0006,Medicine,B100299,2027-05-24,21,95000
ADD,P0013,Noodles,B100300,2027-11-15,97,55000
ADD,P0015,Shampoo,B100301,2027-05-15,9,90000
ADD,P0013,Noodles,B100302,2027-12-25,55,80000
ADD,P0005,Rice,B100303,2027-04-18,34,95000
ADD,P0005,Rice,B100304,2026-07-05,54,90000
ADD,P0001,Milk,B100305,2027-01-26,41,20000
ADD,P0002,Bread,B100306,2027-12-12,77,25000
ADD,P0001,Milk,B100307,2027-06-04,14,55000
ADD,P0010,Candy,B100308,2027-09-06,73,15000
ADD,P0002,Bread,B100309,2027-10-14,84,60000
ADD,P0015,Shampoo,B100310,2027-05-01,31,50000
ADD,P0017,Egg,B100311,2027-07-24,5,40000
ADD,P0002,Bread,B100312,2027-12-30,18,60000
ADD,P0013,Noodles,B100313,2027-03-27,28,65000
ADD,P0020,Sugar,B100314,2026-11-05,98,20000
ADD,P0006,Medicine,B100315,2026-12-18,28,30000
ADD,P0001,Milk,B100316,2027-02-17,13,40000
ADD,P0007,Book,B100317,2027-08-29,37,15000
ADD,P0014,Soap,B100318,2027-04-12,85,30000
ADD,P0007,Book,B100319,2026-07-30,78,30000
ADD,P0009,Cake,B100320,2026-11-29,73,80000
ADD,P0004,Tea,B100321,2027-09-01,3,50000
ADD,P0002,Bread,B100322,2027-06-07,8,40000
ADD,P0005,Rice,B100323,2027-11-03,46,65000
ADD,P0015,Shampoo,B100324,2027-05-20,37,80000
ADD,P0019,Butter,B100325,2026-12-28,62,75000
ADD,P0017,Egg,B100326,2026-07-25,29,15000
ADD,P0018,Cheese,B100327,2026-11-05,62,20000
ADD,P0002,Bread,B100328,2026-07-17,71,45000
ADD,P0013,Noodles,B100329,2026-07-07,11,15000
ADD,P0007,Book,B100330,2027-07-06,17,45000
ADD,P0016,Snack,B100331,2026-11-11,79,70000
ADD,P0001,Milk,B100332,2026-07-03,90,100000
ADD,P0002,Bread,B100333,2026-07-03,68,45000
ADD,P0020,Sugar,B100334,2027-12-11,99,30000
ADD,P0001,Milk,B100335,2027-01-02,50,55000
ADD,P0009,Cake,B100336,2027-01-12,88,10000
ADD,P0004,Tea,B100337,2026-09-30,24,85000
ADD,P0008,Juice,B100338,2027-02-22,84,60000
ADD,P0010,Candy,B100339,2026-07-02,60,20000
ADD,P0020,Sugar,B100340,2026-07-24,39,30000
ADD,P0010,Candy,B100341,2026-07-05,2,65000
ADD,P0015,Shampoo,B100342,2027-09-28,1,65000
ADD,P0013,Noodles,B100343,2026-12-12,27,100000
ADD,P0018,Cheese,B100344,2026-09-22,74,30000
ADD,P0013,Noodles,B100345,2026-07-04,68,65000
ADD,P0014,Soap,B100346,2027-02-11,17,65000
ADD,P0003,Coffee,B100347,2026-09-04,51,85000
ADD,P0015,Shampoo,B100348,2027-07-19,94,80000
ADD,P0012,Chocolate,B100349,2026-07-03,66,55000
ADD,P0002,Bread,B100350,2027-04-26,73,75000
ADD,P0002,Bread,B100351,2026-07-08,97,70000
ADD,P0003,Coffee,B100352,2027-11-28,34,10000
ADD,P0002,Bread,B100353,2027-02-06,42,25000
ADD,P0006,Medicine,B100354,2026-07-03,44,40000
ADD,P0017,Egg,B100355,2026-12-31,37,65000
ADD,P0019,Butter,B100356,2027-02-11,89,100000
ADD,P0005,Rice,B100357,2027-09-28,72,10000
ADD,P0004,Tea,B100358,2027-01-21,17,15000
ADD,P0009,Cake,B100359,2027-01-10,22,60000
ADD,P0009,Cake,B100360,2027-03-28,10,100000
ADD,P0014,Soap,B100361,2026-07-04,96,95000
ADD,P0005,Rice,B100362,2027-09-27,76,55000
ADD,P0013,Noodles,B100363,2027-12-09,28,50000
ADD,P0017,Egg,B100364,2027-07-19,7,40000
ADD,P0006,Medicine,B100365,2027-09-09,42,75000
ADD,P0009,Cake,B100366,2027-05-05,74,95000
ADD,P0001,Milk,B100367,2027-03-13,17,90000
ADD,P0018,Cheese,B100368,2026-07-02,93,55000
ADD,P0007,Book,B100369,2027-07-30,55,70000
ADD,P0014,Soap,B100370,2027-04-20,91,30000
ADD,P0008,Juice,B100371,2027-07-10,4,100000
ADD,P0009,Cake,B100372,2027-08-16,43,40000
ADD,P0003,Coffee,B100373,2026-09-13,88,35000
ADD,P0011,Water,B100374,2026-08-28,58,35000
ADD,P0004,Tea,B100375,2026-11-12,36,100000
ADD,P0018,Cheese,B100376,2027-07-11,46,60000
ADD,P0016,Snack,B100377,2026-07-06,21,100000
ADD,P0005,Rice,B100378,2026-11-10,48,40000
ADD,P0011,Water,B100379,2027-07-13,67,80000
ADD,P0003,Coffee,B100380,2026-10-14,35,70000
ADD,P0006,Medicine,B100381,2026-07-07,72,85000
ADD,P0017,Egg,B100382,2027-06-14,75,95000
ADD,P0018,Cheese,B100383,2027-11-02,69,10000
ADD,P0007,Book,B100384,2027-10-06,88,60000
ADD,P0006,Medicine,B100385,2026-11-27,60,25000
ADD,P0009,Cake,B100386,2026-11-24,45,90000
ADD,P0015,Shampoo,B100387,2026-07-02,31,65000
ADD,P0007,Book,B100388,2026-12-12,25,15000
ADD,P0012,Chocolate,B100389,2026-09-18,27,55000
ADD,P0011,Water,B100390,2027-03-06,21,10000
ADD,P0003,Coffee,B100391,2026-10-20,95,45000
ADD,P0019,Butter,B100392,2027-03-09,81,35000
ADD,P0020,Sugar,B100393,2026-07-06,51,35000
ADD,P0008,Juice,B100394,2026-10-30,82,30000
ADD,P0017,Egg,B100395,2026-08-17,3,15000
ADD,P0017,Egg,B100396,2026-11-15,93,65000
ADD,P0020,Sugar,B100397,2026-07-27,56,85000
ADD,P0010,Candy,B100398,2027-12-24,68,95000
ADD,P0020,Sugar,B100399,2026-11-01,23,100000
ADD,P0009,Cake,B100400,2027-10-08,53,80000
ADD,P0018,Cheese,B100401,2026-12-21,82,25000
ADD,P0003,Coffee,B100402,2027-07-21,34,75000
ADD,P0012,Chocolate,B100403,2026-07-03,54,55000
ADD,P0017,Egg,B100404,2027-09-11,65,35000
ADD,P0014,Soap,B100405,2026-09-25,24,75000
ADD,P0002,Bread,B100406,2027-08-14,24,40000
ADD,P0006,Medicine,B100407,2027-06-10,1,55000
ADD,P0001,Milk,B100408,2027-08-10,5,90000
ADD,P0011,Water,B100409,2026-09-28,2,50000
ADD,P0019,Butter,B100410,2027-06-10,47,15000
ADD,P0006,Medicine,B100411,2026-08-20,79,50000
ADD,P0007,Book,B100412,2026-12-05,24,65000
ADD,P0002,Bread,B100413,2027-12-03,50,40000
ADD,P0017,Egg,B100414,2026-07-08,75,60000
ADD,P0007,Book,B100415,2026-12-11,29,20000
ADD,P0019,Butter,B100416,2027-11-21,100,50000
ADD,P0004,Tea,B100417,2027-08-01,48,50000
ADD,P0003,Coffee,B100418,2027-06-14,39,50000
ADD,P0016,Snack,B100419,2027-11-01,38,40000
ADD,P0018,Cheese,B100420,2027-02-24,66,20000
ADD,P0003,Coffee,B100421,2027-12-26,16,60000
ADD,P0002,Bread,B100422,2027-05-14,53,35000
ADD,P0006,Medicine,B100423,2027-01-30,28,50000
ADD,P0003,Coffee,B100424,2026-12-04,24,55000
ADD,P0014,Soap,B100425,2027-10-10,48,80000
ADD,P0017,Egg,B100426,2027-01-03,52,100000
ADD,P0012,Chocolate,B100427,2027-10-14,61,15000
ADD,P0003,Coffee,B100428,2026-09-26,26,90000
ADD,P0011,Water,B100429,2027-06-13,94,20000
ADD,P0020,Sugar,B100430,2027-01-20,17,75000
ADD,P0020,Sugar,B100431,2027-05-01,32,95000
ADD,P0006,Medicine,B100432,2027-04-09,53,80000
ADD,P0003,Coffee,B100433,2026-10-17,3,35000
ADD,P0002,Bread,B100434,2027-03-16,7,75000
ADD,P0014,Soap,B100435,2027-06-20,83,15000
ADD,P0008,Juice,B100436,2027-12-03,98,10000
ADD,P0001,Milk,B100437,2027-05-08,31,100000
ADD,P0015,Shampoo,B100438,2027-10-09,58,95000
ADD,P0018,Cheese,B100439,2027-02-18,37,65000
ADD,P0013,Noodles,B100440,2026-07-04,14,55000
ADD,P0019,Butter,B100441,2026-09-16,13,75000
ADD,P0020,Sugar,B100442,2027-07-23,27,100000
ADD,P0007,Book,B100443,2026-12-26,55,35000
ADD,P0015,Shampoo,B100444,2027-06-10,76,15000
ADD,P0014,Soap,B100445,2026-07-28,76,10000
ADD,P0013,Noodles,B100446,2027-03-04,21,60000
ADD,P0016,Snack,B100447,2026-12-12,86,85000
ADD,P0001,Milk,B100448,2026-08-25,13,90000
ADD,P0005,Rice,B100449,2027-08-05,60,75000
ADD,P0016,Snack,B100450,2027-01-13,32,55000
ADD,P0014,Soap,B100451,2026-07-06,72,15000
ADD,P0006,Medicine,B100452,2026-12-17,71,20000
ADD,P0011,Water,B100453,2026-10-17,33,95000
ADD,P0015,Shampoo,B100454,2027-04-26,12,70000
ADD,P0013,Noodles,B100455,2026-08-13,41,90000
ADD,P0014,Soap,B100456,2027-12-19,34,50000
ADD,P0011,Water,B100457,2026-11-26,88,15000
ADD,P0009,Cake,B100458,2026-10-05,12,40000
ADD,P0014,Soap,B100459,2027-08-11,9,15000
ADD,P0012,Chocolate,B100460,2026-10-24,70,35000
ADD,P0012,Chocolate,B100461,2026-10-14,76,75000
ADD,P0017,Egg,B100462,2027-09-07,85,60000
ADD,P0014,Soap,B100463,2026-12-20,5,25000
ADD,P0002,Bread,B100464,2026-07-05,15,75000
ADD,P0003,Coffee,B100465,2027-01-30,49,90000
ADD,P0009,Cake,B100466,2027-01-22,32,35000
ADD,P0016,Snack,B100467,2027-10-28,2,65000
ADD,P0017,Egg,B100468,2027-03-20,22,50000
ADD,P0013,Noodles,B100469,2027-04-29,84,55000
ADD,P0007,Book,B100470,2027-06-06,15,30000
ADD,P0017,Egg,B100471,2027-09-23,41,100000
ADD,P0006,Medicine,B100472,2027-07-18,92,40000
ADD,P0004,Tea,B100473,2027-01-13,99,70000
ADD,P0006,Medicine,B100474,2027-02-19,28,80000
ADD,P0001,Milk,B100475,2027-11-21,68,15000
ADD,P0016,Snack,B100476,2026-07-06,6,90000
ADD,P0002,Bread,B100477,2026-07-04,18,10000
ADD,P0005,Rice,B100478,2027-06-23,49,80000
ADD,P0009,Cake,B100479,2027-09-22,96,85000
ADD,P0017,Egg,B100480,2027-09-01,81,50000
ADD,P0004,Tea,B100481,2027-12-23,26,20000
ADD,P0018,Cheese,B100482,2026-07-02,10,75000
ADD,P0001,Milk,B100483,2026-07-03,99,60000
ADD,P0007,Book,B100484,2027-09-27,91,90000
ADD,P0002,Bread,B100485,2027-10-07,8,30000
ADD,P0013,Noodles,B100486,2027-02-17,37,10000
ADD,P0017,Egg,B100487,2027-05-20,4,10000
ADD,P0007,Book,B100488,2027-02-26,49,60000
ADD,P0004,Tea,B100489,2026-10-18,62,50000
ADD,P0008,Juice,B100490,2026-08-26,59,100000
ADD,P0012,Chocolate,B100491,2026-12-25,22,50000
ADD,P0007,Book,B100492,2027-05-09,78,70000
