action,barcode,quantity
DISPATCH,P0397,23
DISPATCH,P0397,39
DISPATCH,P0371,22
DISPATCH,P0371,20
DISPATCH,P0401,6
DISPATCH,P0392,34
DISPATCH,P0399,28
DISPATCH,P0400,8
DISPATCH,P0395,37
DISPATCH,P0404,33
DISPATCH,P0402,48
DISPATCH,P0334,13
DISPATCH,P0369,33
DISPATCH,P0392,13
DISPATCH,P0395,20
DISPATCH,P0334,33
DISPATCH,P0400,21
DISPATCH,P0403,34
DISPATCH,P0387,13
DISPATCH,P0392,47
DISPATCH,P0401,5
DISPATCH,P0369,34
DISPATCH,P0369,37
DISPATCH,P0385,37
DISPATCH,P0388,33
DISPATCH,P0392,16
DISPATCH,P0397,20
DISPATCH,P0399,39
DISPATCH,P0396,32
DISPATCH,P0387,2
DISPATCH,P0395,24
DISPATCH,P0399,34
DISPATCH,P0399,16
DISPATCH,P0369,3
DISPATCH,P0404,49
DISPATCH,P0400,38
DISPATCH,P0400,27
DISPATCH,P0381,17
DISPATCH,P0395,40
DISPATCH,P0392,5
DISPATCH,P0371,34
DISPATCH,P0399,35
DISPATCH,P0404,40
DISPATCH,P0401,15
DISPATCH,P0404,22
DISPATCH,P0402,38
DISPATCH,P0388,38
DISPATCH,P0381,48
DISPATCH,P0384,48
DISPATCH,P0402,10
DISPATCH,P0399,5
DISPATCH,P0398,44
DISPATCH,P0384,26
DISPATCH,P0387,29
DISPATCH,P0399,27
DISPATCH,P0334,43
DISPATCH,P0401,28
DISPATCH,P0397,34
DISPATCH,P0400,50
DISPATCH,P0334,22
DISPATCH,P0395,15
DISPATCH,P0396,24
DISPATCH,P0397,41
DISPATCH,P0400,15
DISPATCH,P0400,24
DISPATCH,P0398,37
DISPATCH,P0404,37
DISPATCH,P0400,15
DISPATCH,P0392,13
DISPATCH,P0381,15
DISPATCH,P0401,4
DISPATCH,P0371,5
DISPATCH,P0384,4
DISPATCH,P0398,19
DISPATCH,P0399,15
DISPATCH,P0402,50
DISPATCH,P0392,48
DISPATCH,P0385,27
DISPATCH,P0402,26
DISPATCH,P0398,14
DISPATCH,P0397,19
DISPATCH,P0404,39
DISPATCH,P0385,48
DISPATCH,P0402,35
DISPATCH,P0395,14
DISPATCH,P0385,43
DISPATCH,P0371,42
DISPATCH,P0381,24
DISPATCH,P0392,36
DISPATCH,P0395,29
DISPATCH,P0388,35
DISPATCH,P0400,39
DISPATCH,P0395,14
DISPATCH,P0404,2
DISPATCH,P0395,40
DISPATCH,P0403,34
DISPATCH,P0369,12
DISPATCH,P0381,38
DISPATCH,P0398,3
DISPATCH,P0402,21
DISPATCH,P0403,26
DISPATCH,P0384,39
DISPATCH,P0403,42
DISPATCH,P0404,48
DISPATCH,P0388,11
DISPATCH,P0398,29
DISPATCH,P0371,33
DISPATCH,P0392,14
DISPATCH,P0387,31
DISPATCH,P0381,42
DISPATCH,P0403,29
DISPATCH,P0377,17
DISPATCH,P0396,17
DISPATCH,P0398,46
DISPATCH,P0385,4
DISPATCH,P0397,8
DISPATCH,P0404,33
DISPATCH,P0398,27
DISPATCH,P0392,13
DISPATCH,P0397,48
DISPATCH,P0385,47
DISPATCH,P0388,23
DISPATCH,P0403,8
DISPATCH,P0377,47
DISPATCH,P0396,39
DISPATCH,P0371,32
DISPATCH,P0384,6
DISPATCH,P0377,9
DISPATCH,P0398,20
DISPATCH,P0388,48
DISPATCH,P0398,24
DISPATCH,P0381,39
DISPATCH,P0398,8
DISPATCH,P0403,15
DISPATCH,P0404,22
DISPATCH,P0397,4
DISPATCH,P0392,27
DISPATCH,P0369,18
DISPATCH,P0384,21
DISPATCH,P0399,35
DISPATCH,P0402,20
DISPATCH,P0369,22
DISPATCH,P0400,8
DISPATCH,P0400,44
DISPATCH,P0385,4
DISPATCH,P0371,22
DISPATCH,P0398,3
DISPATCH,P0397,45
DISPATCH,P0401,38
DISPATCH,P0384,21
DISPATCH,P0387,16
DISPATCH,P0401,5
DISPATCH,P0404,36
DISPATCH,P0377,30
DISPATCH,P0399,36
DISPATCH,P0402,28
DISPATCH,P0388,30
DISPATCH,P0396,44
DISPATCH,P0403,47
DISPATCH,P0334,40
DISPATCH,P0397,19
DISPATCH,P0400,40
DISPATCH,P0392,41
DISPATCH,P0392,35
DISPATCH,P0384,3
DISPATCH,P0392,36
DISPATCH,P0377,33
DISPATCH,P0398,18
DISPATCH,P0377,40
DISPATCH,P0387,22
DISPATCH,P0397,22
DISPATCH,P0400,3
DISPATCH,P0402,15
DISPATCH,P0397,14
DISPATCH,P0387,34
DISPATCH,P0402,8
DISPATCH,P0403,43
DISPATCH,P0401,42
DISPATCH,P0384,39
DISPATCH,P0369,30
DISPATCH,P0377,48
DISPATCH,P0404,4
DISPATCH,P0385,11
DISPATCH,P0396,21
DISPATCH,P0384,38
DISPATCH,P0392,27
DISPATCH,P0384,46
DISPATCH,P0385,16
DISPATCH,P0403,7
DISPATCH,P0392,49
DISPATCH,P0384,14
DISPATCH,P0396,20
DISPATCH,P0381,43
DISPATCH,P0397,25
DISPATCH,P0401,49
DISPATCH,P0392,20
DISPATCH,P0398,16
DISPATCH,P0385,7
DISPATCH,P0397,23
DISPATCH,P0387,9
DISPATCH,P0387,24
DISPATCH,P0395,16
DISPATCH,P0404,45
DISPATCH,P0403,40
DISPATCH,P0387,13
DISPATCH,P0400,5
DISPATCH,P0397,43
DISPATCH,P0397,7
DISPATCH,P0396,30
DISPATCH,P0384,48
DISPATCH,P0392,29
DISPATCH,P0398,29
DISPATCH,P0396,35
DISPATCH,P0402,48
DISPATCH,P0398,47
DISPATCH,P0403,23
DISPATCH,P0404,4
DISPATCH,P0403,44
DISPATCH,P0388,37
DISPATCH,P0402,12
DISPATCH,P0403,1
DISPATCH,P0400,26
DISPATCH,P0387,5
DISPATCH,P0387,20
DISPATCH,P0403,49
DISPATCH,P0384,36
DISPATCH,P0401,13
DISPATCH,P0404,17
DISPATCH,P0392,47
DISPATCH,P0404,14
DISPATCH,P0377,4
DISPATCH,P0400,44
DISPATCH,P0381,50
DISPATCH,P0403,16
DISPATCH,P0381,34
DISPATCH,P0369,14
